BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
90,0.5,0.5,0.5,0.0,100,17.30075,874.07,247.20141999999998
90,0.5,0.5,0.2,0.0,100,27.796,768.04,204.76454
90,0.5,0.5,0.0,0.8,100,7.5998,1661.055,329.63426
90,0.5,0.5,0.0,0.5,100,13.780999999999999,1255.615,271.45972
90,0.5,0.5,0.0,0.2,100,24.23275,908.045,214.76779
90,0.5,0.2,0.8,0.0,100,15.639249999999999,714.26,234.57939
90,0.5,0.2,0.5,0.0,100,27.308899999999998,561.51,188.01008000000002
90,0.5,0.2,0.2,0.0,100,44.13565,455.48,144.57268
90,0.5,0.2,0.0,0.8,100,14.66675,1348.495,272.36826
90,0.5,0.2,0.0,0.5,100,24.8259,943.055,212.59407
90,0.5,0.2,0.0,0.2,100,41.85285,595.485,155.03435
90,0.5,0.0,0.8,0.8,100,6.558949999999999,1455.44,348.57502999999997
90,0.5,0.0,0.8,0.5,100,10.8474,1050.0,289.40631
90,0.5,0.0,0.8,0.2,100,16.5046,702.43,232.85511
90,0.5,0.0,0.5,0.8,100,11.0479,1302.69,303.33896
90,0.5,0.0,0.5,0.5,100,18.2837,897.25,243.44603999999998
90,0.5,0.0,0.5,0.2,100,27.72055,549.68,186.3332
90,0.5,0.8,0.8,0.0,100,5.9704999999999995,1459.535,354.21595
90,0.8,0.0,0.2,0.5,100,17.8674,925.59,246.77508999999998
90,0.5,0.0,0.2,0.5,100,28.84575,791.22,201.10732
90,0.8,0.0,0.2,0.8,100,10.85465,1331.03,306.41656
90,0.8,0.8,0.5,0.0,100,5.98585,1441.155,353.0267
90,0.8,0.8,0.2,0.0,100,9.87955,1335.125,311.99053
90,0.8,0.8,0.0,0.8,100,2.27495,2228.14,432.56010000000003
90,0.8,0.8,0.0,0.5,100,4.7322500000000005,1822.7,376.32441
90,0.8,0.8,0.0,0.2,100,8.3804,1475.13,321.63741
90,0.8,0.5,0.8,0.0,100,5.23015,1161.19,337.12725
90,0.8,0.5,0.5,0.0,100,10.13725,1008.44,292.14481
90,0.8,0.5,0.2,0.0,100,17.08085,902.41,250.54295
90,0.8,0.5,0.0,0.8,100,4.8773,1795.425,374.50818
90,0.8,0.5,0.0,0.5,100,8.60275,1389.985,316.425
90,0.8,0.5,0.0,0.2,100,14.89635,1042.415,260.94136
90,0.8,0.2,0.8,0.0,100,7.8048,848.63,278.73338
90,0.8,0.2,0.5,0.0,100,15.7894,695.88,233.29855
90,0.8,0.2,0.2,0.0,100,28.13,589.85,190.7275
90,0.8,0.2,0.0,0.8,100,9.05135,1482.865,317.47127
90,0.8,0.2,0.0,0.5,100,15.2434,1077.425,258.73859
90,0.8,0.2,0.0,0.2,100,26.66435,729.855,201.43541000000002
90,0.8,0.0,0.8,0.8,100,3.58035,1589.81,391.78885
90,0.8,0.0,0.8,0.5,100,5.8207,1184.37,333.27
90,0.8,0.0,0.8,0.2,100,8.2013,836.8,276.99886
90,0.8,0.0,0.5,0.8,100,6.6255500000000005,1437.06,347.38428999999996
90,0.8,0.0,0.5,0.5,100,10.802349999999999,1031.62,288.23920999999996
90,0.8,0.0,0.5,0.2,100,16.46695,684.05,231.63100999999997
