TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_006,0,0,0.5,0.5,0.2,34.36,536,148.54
TILE_007,0,0,0.5,0.5,0.2,36.41,469,143.332
TILE_008,0,0,0.5,0.5,0.2,54.47,284,115.757
TILE_009,0,0,0.5,0.5,0.2,88.52,188.5,63.002
TILE_010,0,0,0.5,0.5,0.2,78.77,394,87.515
TILE_011,0,0,0.5,0.5,0.2,55.18,462,112.058
TILE_012,0,0,0.5,0.5,0.2,37.15,576,137.219
TILE_013,0,0,0.5,0.5,0.2,28.27,596,152.98
TILE_014,0,0,0.5,0.5,0.2,23.67,656,165.816
TILE_015,0,0,0.5,0.5,0.2,21.29,750,178.522
TILE_016,0,0,0.5,0.5,0.2,20.08,773,188.553
TILE_017,0,0,0.5,0.5,0.2,21.48,746,197.34
TILE_018,0,0,0.5,0.5,0.2,27.1,594,181.477
TILE_019,0,0,0.5,0.5,0.2,69.29,411,95.782
TILE_020,0,0,0.5,0.5,0.2,66.05,509,99.202
TILE_021,0,0,0.5,0.5,0.2,35.07,609,146.9
TILE_022,0,0,0.5,0.5,0.2,22.22,748,176.418
TILE_023,0,0,0.5,0.5,0.2,18.88,799,187.804
TILE_024,0,0,0.5,0.5,0.2,16.33,859,197.96
TILE_025,0,0,0.5,0.5,0.2,15.23,975,215.342
TILE_026,0,0,0.5,0.5,0.2,12.44,1060,233.618
TILE_027,0,0,0.5,0.5,0.2,12.03,1032,256.078
TILE_028,0,0,0.5,0.5,0.2,16.6,895,254.708
TILE_029,0,0,0.5,0.5,0.2,46.47,549,132.611
TILE_030,0,0,0.5,0.5,0.2,51.75,608,115.51
TILE_031,0,0,0.5,0.5,0.2,21.45,749,184.228
TILE_032,0,0,0.5,0.5,0.2,16.25,898,216.992
TILE_033,0,0,0.5,0.5,0.2,12.74,1000,226.055
TILE_034,0,0,0.5,0.5,0.2,10.03,1039,233.976
TILE_035,0,0,0.5,0.5,0.2,8.27,1270,250.481
TILE_036,0,0,0.5,0.5,0.2,8.11,1414,272.783
TILE_037,0,0,0.5,0.5,0.2,7.45,1287,300.646
TILE_038,0,0,0.5,0.5,0.2,12.33,969,293.65
TILE_039,0,0,0.5,0.5,0.2,38.19,573,145.13
TILE_040,0,0,0.5,0.5,0.2,41.07,661,130.102
TILE_041,0,0,0.5,0.5,0.2,18.27,891,217.762
TILE_042,0,0,0.5,0.5,0.2,11.95,1074,254.355
TILE_043,0,0,0.5,0.5,0.2,7.1,1292,257.144
TILE_044,0,0,0.5,0.5,0.2,6.08,1253,264.466
TILE_045,0,0,0.5,0.5,0.2,4.6,1482,275.75
TILE_046,0,0,0.5,0.5,0.2,5.75,1408,301.724
TILE_047,0,0,0.5,0.5,0.2,4.93,1289,323.64
TILE_048,0,0,0.5,0.5,0.2,8.47,953,311.348
TILE_049,0,0,0.5,0.5,0.2,35.42,563,154.818
TILE_050,0,0,0.5,0.5,0.2,36.11,709,141.056
TILE_051,0,0,0.5,0.5,0.2,14.99,875,230.597
TILE_052,0,0,0.5,0.5,0.2,8.63,1003,271.563
TILE_053,0,0,0.5,0.5,0.2,5.29,1219,276.061
TILE_054,0,0,0.5,0.5,0.2,4.55,1180,283.763
TILE_055,0,0,0.5,0.5,0.2,3.78,1479,297.878
TILE_056,0,0,0.5,0.5,0.2,3.37,1436,318.087
TILE_057,0,0,0.5,0.5,0.2,2.71,1272,343.047
TILE_058,0,0,0.5,0.5,0.2,6.25,953,325.561
TILE_059,0,0,0.5,0.5,0.2,31.53,590,165.634
TILE_060,0,0,0.5,0.5,0.2,34.05,816,151.59
TILE_061,0,0,0.5,0.5,0.2,15.42,857,233.21
TILE_062,0,0,0.5,0.5,0.2,8.38,822,274.926
TILE_063,0,0,0.5,0.5,0.2,4.82,1003,289.584
TILE_064,0,0,0.5,0.5,0.2,3.45,893,298.581
TILE_065,0,0,0.5,0.5,0.2,2.82,1280,313.955
TILE_066,0,0,0.5,0.5,0.2,2.44,1428,331.952
TILE_067,0,0,0.5,0.5,0.2,2.44,1273,352.039
TILE_068,0,0,0.5,0.5,0.2,5.15,1081,333.948
TILE_069,0,0,0.5,0.5,0.2,28.79,744,179.015
TILE_070,0,0,0.5,0.5,0.2,38.19,942,158.951
TILE_071,0,0,0.5,0.5,0.2,16.25,1069,224.188
TILE_072,0,0,0.5,0.5,0.2,10.3,1074,276.762
TILE_073,0,0,0.5,0.5,0.2,4.79,1182,305.025
TILE_074,0,0,0.5,0.5,0.2,2.9,1100,324.573
TILE_075,0,0,0.5,0.5,0.2,2.44,1414,332.955
TILE_076,0,0,0.5,0.5,0.2,2.27,1446,344.093
TILE_077,0,0,0.5,0.5,0.2,2.44,1401,347.689
TILE_078,0,0,0.5,0.5,0.2,7.45,1275,326.093
TILE_079,0,0,0.5,0.5,0.2,29.01,952,185.163
TILE_080,0,0,0.5,0.5,0.2,48.58,933,142.132
TILE_081,0,0,0.5,0.5,0.2,23.26,1095,201.73
TILE_082,0,0,0.5,0.5,0.2,14.25,1181,266.272
TILE_083,0,0,0.5,0.5,0.2,7.86,1430,307.464
TILE_084,0,0,0.5,0.5,0.2,4.93,1535,328.618
TILE_085,0,0,0.5,0.5,0.2,3.75,1781,339.955
TILE_086,0,0,0.5,0.5,0.2,3.86,1680,338.345
TILE_087,0,0,0.5,0.5,0.2,6.03,1432,317.918
